name,placeId,_id,type,address,location
Cơ Sở Minh Thái,06a16f2b043ccbb6c5f1ca79c6bbe3465d136ec4,ObjectId(5db262a0c7db8a0864731b01),"[""point_of_interest"",""clothing_store"",""store"",""establishment""]","106 Đường số 4, Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh, Vietnam","{""lat"":""10.8418782"",""lng"":""106.7230958""}"
Phụ tùng ô tô Thiên Phú,b9077f579f677e4fcfba916cf4c733f63f692721,ObjectId(5db262a0c7db8a0864731b02),"[""car_repair"",""point_of_interest"",""store"",""establishment""]","25/34/2B Đường số 6. Phường Hiệp Bình Phước . Thủ Đức, Hiệp Bình Phước, Hồ Chí Minh, Vietnam","{""lat"":""10.84232"",""lng"":""106.7223844""}"
Ho Chi Minh City,04625769fd933612c8619246ef022a7c73dc794a,ObjectId(5db27d69f9097b09f0b630f4),"[""locality"",""political""]","Ho Chi Minh City, Vietnam","{""lat"":""10.8230989"",""lng"":""106.6296638""}"
Phường 7,24cf2b9d23968857fc541a949f678e03b25e68a9,ObjectId(5db27d69f9097b09f0b630f5),"[""sublocality_level_1"",""sublocality"",""political""]","Phường 7, District 8, Ho Chi Minh City, Vietnam","{""lat"":""10.7046969"",""lng"":""106.6210379""}"
Ho Chi Minh City,04625769fd933612c8619246ef022a7c73dc794a,ObjectId(5db27d7004985a2390bb61a7),"[""locality"",""political""]","Ho Chi Minh City, Vietnam","{""lat"":""10.8230989"",""lng"":""106.6296638""}"
Phường 7,24cf2b9d23968857fc541a949f678e03b25e68a9,ObjectId(5db27d7004985a2390bb61a8),"[""sublocality_level_1"",""sublocality"",""political""]","Phường 7, District 8, Ho Chi Minh City, Vietnam","{""lat"":""10.7046969"",""lng"":""106.6210379""}"
Trường tiểu học Đặng Văn Bất,29501f742bd4a5a5fe6bfe97410ff6c71b0bf18a,ObjectId(5db3f8e77b3f3c14f84e4757),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","30 Đường 35, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8561718"",""lng"":""106.7479619""}"
Trường tiểu học Đặng Văn Bất,29501f742bd4a5a5fe6bfe97410ff6c71b0bf18a,ObjectId(5db3f8e77b3f3c14f84e4758),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","30 Đường 35, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8561718"",""lng"":""106.7479619""}"
Linh Dong Primary School,1c44e4839778a2125e7656e2071a0bed5f51b5e1,ObjectId(5db3f8e77b3f3c14f84e4759),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","170 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8554029"",""lng"":""106.7509701""}"
Linh Dong Primary School,1c44e4839778a2125e7656e2071a0bed5f51b5e1,ObjectId(5db3f8e77b3f3c14f84e475a),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","170 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh","{""lat"":""10.8554029"",""lng"":""106.7509701""}"
